P30;nicht besetzt, kein Ergebniseingang
P30p;nicht besetzt, kein Ergebniseingang
P31;nicht besetzt, kein Ergebniseingang
P31p;nicht besetzt, kein Ergebniseingang
P32;nicht besetzt, kein Ergebniseingang
P32p;nicht besetzt, kein Ergebniseingang
P33;nicht besetzt, kein Ergebniseingang
P33p;nicht besetzt, kein Ergebniseingang
P34;nicht besetzt, kein Ergebniseingang
P34p;nicht besetzt, kein Ergebniseingang
P35;nicht besetzt, kein Ergebniseingang
P35p;nicht besetzt, kein Ergebniseingang
P36;nicht besetzt, kein Ergebniseingang
P36p;nicht besetzt, kein Ergebniseingang
P37;nicht besetzt, kein Ergebniseingang
P37p;nicht besetzt, kein Ergebniseingang
P38;nicht besetzt, kein Ergebniseingang
P38p;nicht besetzt, kein Ergebniseingang
P39;nicht besetzt, kein Ergebniseingang
P39p;nicht besetzt, kein Ergebniseingang
P40;nicht besetzt, kein Ergebniseingang
P40p;nicht besetzt, kein Ergebniseingang
P41;nicht besetzt, kein Ergebniseingang
P41p;nicht besetzt, kein Ergebniseingang
P42;nicht besetzt, kein Ergebniseingang
P42p;nicht besetzt, kein Ergebniseingang
P43;nicht besetzt, kein Ergebniseingang
P43p;nicht besetzt, kein Ergebniseingang
P44;nicht besetzt, kein Ergebniseingang
P44p;nicht besetzt, kein Ergebniseingang
P45;nicht besetzt, kein Ergebniseingang
P45p;nicht besetzt, kein Ergebniseingang
P46;nicht besetzt, kein Ergebniseingang
P46p;nicht besetzt, kein Ergebniseingang
P47;nicht besetzt, kein Ergebniseingang
P47p;nicht besetzt, kein Ergebniseingang
P48;nicht besetzt, kein Ergebniseingang
P48p;nicht besetzt, kein Ergebniseingang
P49;nicht besetzt, kein Ergebniseingang
P49p;nicht besetzt, kein Ergebniseingang
P50;nicht besetzt, kein Ergebniseingang
P50p;nicht besetzt, kein Ergebniseingang
P51;nicht besetzt, kein Ergebniseingang
P51p;nicht besetzt, kein Ergebniseingang
P52;nicht besetzt, kein Ergebniseingang
P52p;nicht besetzt, kein Ergebniseingang
P53;nicht besetzt, kein Ergebniseingang
P53p;nicht besetzt, kein Ergebniseingang
P54;nicht besetzt, kein Ergebniseingang
P54p;nicht besetzt, kein Ergebniseingang
P55;nicht besetzt, kein Ergebniseingang
P55p;nicht besetzt, kein Ergebniseingang
P56;nicht besetzt, kein Ergebniseingang
P56p;nicht besetzt, kein Ergebniseingang
P57;nicht besetzt, kein Ergebniseingang
P57p;nicht besetzt, kein Ergebniseingang
P58;nicht besetzt, kein Ergebniseingang
P58p;nicht besetzt, kein Ergebniseingang
P59;nicht besetzt, kein Ergebniseingang
P59p;nicht besetzt, kein Ergebniseingang
P60;nicht besetzt, kein Ergebniseingang
P60p;nicht besetzt, kein Ergebniseingang
P61;nicht besetzt, kein Ergebniseingang
P61p;nicht besetzt, kein Ergebniseingang
P62;nicht besetzt, kein Ergebniseingang
P62p;nicht besetzt, kein Ergebniseingang
P63;nicht besetzt, kein Ergebniseingang
P63p;nicht besetzt, kein Ergebniseingang
P64;nicht besetzt, kein Ergebniseingang
P64p;nicht besetzt, kein Ergebniseingang
P65;nicht besetzt, kein Ergebniseingang
P65p;nicht besetzt, kein Ergebniseingang
P66;nicht besetzt, kein Ergebniseingang
P66p;nicht besetzt, kein Ergebniseingang
P67;nicht besetzt, kein Ergebniseingang
P67p;nicht besetzt, kein Ergebniseingang
P68;nicht besetzt, kein Ergebniseingang
P68p;nicht besetzt, kein Ergebniseingang
P69;nicht besetzt, kein Ergebniseingang
P69p;nicht besetzt, kein Ergebniseingang
P70;nicht besetzt, kein Ergebniseingang
P70p;nicht besetzt, kein Ergebniseingang
P71;nicht besetzt, kein Ergebniseingang
P71p;nicht besetzt, kein Ergebniseingang
P72;nicht besetzt, kein Ergebniseingang
P72p;nicht besetzt, kein Ergebniseingang
P73;nicht besetzt, kein Ergebniseingang
P73p;nicht besetzt, kein Ergebniseingang
P74;nicht besetzt, kein Ergebniseingang
P74p;nicht besetzt, kein Ergebniseingang
P75;nicht besetzt, kein Ergebniseingang
P75p;nicht besetzt, kein Ergebniseingang
P76;nicht besetzt, kein Ergebniseingang
P76p;nicht besetzt, kein Ergebniseingang
P77;nicht besetzt, kein Ergebniseingang
P77p;nicht besetzt, kein Ergebniseingang
P78;nicht besetzt, kein Ergebniseingang
P78p;nicht besetzt, kein Ergebniseingang
P79;nicht besetzt, kein Ergebniseingang
P79p;nicht besetzt, kein Ergebniseingang
P80;nicht besetzt, kein Ergebniseingang
P80p;nicht besetzt, kein Ergebniseingang
P81;nicht besetzt, kein Ergebniseingang
P81p;nicht besetzt, kein Ergebniseingang
P82;nicht besetzt, kein Ergebniseingang
P82p;nicht besetzt, kein Ergebniseingang
P83;nicht besetzt, kein Ergebniseingang
P83p;nicht besetzt, kein Ergebniseingang
P84;nicht besetzt, kein Ergebniseingang
P84p;nicht besetzt, kein Ergebniseingang
P85;nicht besetzt, kein Ergebniseingang
P85p;nicht besetzt, kein Ergebniseingang
P86;nicht besetzt, kein Ergebniseingang
